hand_table_name,hand_datetime_start,hand_number,number_players,positions,winner_main_pot,winner_side_pot1,winner_side_pot2,winner_side_pot3,money_main_pot,money_side_pot1,money_side_pot2,money_side_pot3
Laputa,2022-12-09 17:03:40,240356403676,6,"{'btn': 'hotti60', 'sb': 'AlterJuEgo', 'bb': 'serioushippo677', 'utg': 'Renata RDV', 'mp': 'pico516', 'co': 'Dr.Smokealot'}",pico516,,,,350,,,
Laputa,2022-12-09 17:04:07,240356410578,5,"{'btn': 'serioushippo677', 'sb': 'Renata RDV', 'bb': 'pico516', 'utg': 'Dr.Smokealot', 'mp': 'hotti60'}",pico516,,,,1276,,,
Laputa,2022-12-09 17:04:59,240356423789,5,"{'btn': 'Renata RDV', 'sb': 'pico516', 'bb': 'Dr.Smokealot', 'utg': 'hotti60', 'mp': 'serioushippo677'}",serioushippo677,,,,6598,,,
Laputa,2022-12-09 17:05:59,240356439035,5,"{'btn': 'pico516', 'sb': 'Dr.Smokealot', 'bb': 'hotti60', 'utg': 'serioushippo677', 'mp': 'Renata RDV'}",pico516,,,,14583,,,
Laputa,2022-12-09 17:06:40,240356449666,5,"{'btn': 'Dr.Smokealot', 'sb': 'hotti60', 'bb': 'serioushippo677', 'utg': 'Renata RDV', 'mp': 'pico516'}",Renata RDV,,,,3032,,,
Laputa,2022-12-09 17:07:35,240356464006,5,"{'btn': 'serioushippo677', 'sb': 'Renata RDV', 'bb': 'pico516', 'utg': 'Dr.Smokealot', 'mp': 'JoseLu�\xadsJorg'}",JoseLuísJorg,,,,250,,,
Laputa,2022-12-09 17:07:58,240356470122,5,"{'btn': 'Renata RDV', 'sb': 'pico516', 'bb': 'Dr.Smokealot', 'utg': 'JoseLu�\xadsJorg', 'mp': 'serioushippo677'}",Renata RDV,,,,9733,,,
Errai II,2022-12-10 21:24:05,240381775946,5,"{'btn': 'fppat', 'sb': 'hacke-fire', 'bb': 'StefanJaros', 'utg': 'serioushippo677', 'mp': 'Joe F809'}",Joe F809,,,,331,,,
Errai II,2022-12-10 21:24:35,240381786071,5,"{'btn': 'hacke-fire', 'sb': 'StefanJaros', 'bb': 'serioushippo677', 'utg': 'Joe F809', 'mp': 'fppat'}",serioushippo677,,,,15506,,,
Errai II,2022-12-10 21:25:40,240381807467,4,"{'btn': 'StefanJaros', 'sb': 'serioushippo677', 'bb': 'fppat', 'utg': 'hacke-fire'}",fppat,,,,236,,,
Errai II,2022-12-10 21:26:11,240381817847,3,"{'btn': 'serioushippo677', 'sb': 'fppat', 'bb': 'StefanJaros'}",StefanJaros,,,,3118,,,
Errai II,2022-12-10 21:27:17,240381839586,3,"{'btn': 'fppat', 'sb': 'StefanJaros', 'bb': 'serioushippo677'}",StefanJaros,,,,189,,,
Errai II,2022-12-10 21:27:36,240381845746,3,"{'btn': 'StefanJaros', 'sb': 'serioushippo677', 'bb': 'fppat'}",StefanJaros,,,,307,,,
Errai II,2022-12-10 21:28:13,240381858095,3,"{'btn': 'serioushippo677', 'sb': 'fppat', 'bb': 'StefanJaros'}",serioushippo677,,,,803,,,
Errai II,2022-12-10 21:28:52,240381871161,3,"{'btn': 'StefanJaros', 'sb': 'serioushippo677', 'bb': 'LeftMyMark'}",StefanJaros,,,,236,,,
Errai II,2022-12-10 21:29:24,240381881935,4,"{'btn': 'serioushippo677', 'sb': 'LeftMyMark', 'bb': 'fppat', 'utg': 'StefanJaros'}",fppat,,,,472,,,
Errai II,2022-12-10 21:30:01,240381893713,3,"{'btn': 'fppat', 'sb': 'StefanJaros', 'bb': 'serioushippo677'}",StefanJaros,,,,2173,,,
Errai II,2022-12-10 21:31:12,240381917317,6,"{'btn': 'StefanJaros', 'sb': 'serioushippo677', 'bb': 'themiguelzin', 'utg': 'LeftMyMark', 'mp': 'fppat', 'co': 'hacke-fire'}",hacke-fire,,,,2362,,,
Errai II,2022-12-10 21:32:10,240381936389,4,"{'btn': 'serioushippo677', 'sb': 'themiguelzin', 'bb': 'fppat', 'utg': 'hacke-fire'}",hacke-fire,,,,1512,,,
Errai II,2022-12-10 21:32:56,240381951585,5,"{'btn': 'themiguelzin', 'sb': 'fppat', 'bb': 'hacke-fire', 'utg': 'T_RadW', 'mp': 'serioushippo677'}",hacke-fire,,,,250,,,
Errai II,2022-12-10 21:33:21,240381959730,5,"{'btn': 'fppat', 'sb': 'hacke-fire', 'bb': 'serioushippo677', 'utg': 'themiguelzin', 'mp': 'LeftMyMark'}",hacke-fire,,,,425,,,
Errai II,2022-12-10 21:34:20,240381979131,5,"{'btn': 'hacke-fire', 'sb': 'serioushippo677', 'bb': 'themiguelzin', 'utg': 'LeftMyMark', 'mp': 'Denaid1711'}",serioushippo677,,,,10300,,,
Errai II,2022-12-10 21:35:47,240382007535,6,"{'btn': 'serioushippo677', 'sb': 'themiguelzin', 'bb': 'LeftMyMark', 'utg': 'Denaid1711', 'mp': 'hacke-fire', 'co': 'T_RadW'}",hacke-fire,,,,500,,,
Errai II,2022-12-10 21:36:03,240382012629,6,"{'btn': 'themiguelzin', 'sb': 'LeftMyMark', 'bb': 'Denaid1711', 'utg': 'hacke-fire', 'mp': 'T_RadW', 'co': 'serioushippo677'}",T_RadW,,,,850,,,
Postrema,2022-12-10 15:55:09,240375339222,6,"{'btn': 'rwilliams348', 'sb': 'momotic', 'bb': 'Tapia o_O', 'utg': 'Satyam63', 'mp': 'judini777777', 'co': 'serioushippo677'}",serioushippo677,,,,2848,,,
Postrema,2022-12-10 15:56:01,240375349939,6,"{'btn': 'momotic', 'sb': 'Tapia o_O', 'bb': 'Satyam63', 'utg': 'judini777777', 'mp': 'serioushippo677', 'co': 'rwilliams348'}",rwilliams348,,,,4552,,,
Postrema,2022-12-10 15:56:40,240375358097,6,"{'btn': 'Tapia o_O', 'sb': 'Satyam63', 'bb': 'judini777777', 'utg': 'serioushippo677', 'mp': 'rwilliams348', 'co': 'momotic'}",rwilliams348,,,,3676,,,
Postrema,2022-12-10 15:57:28,240375368281,6,"{'btn': 'Satyam63', 'sb': 'judini777777', 'bb': 'serioushippo677', 'utg': 'rwilliams348', 'mp': 'momotic', 'co': 'Tapia o_O'}",serioushippo677,,,,331,,,
Postrema,2022-12-10 15:58:21,240375379445,6,"{'btn': 'judini777777', 'sb': 'serioushippo677', 'bb': 'rwilliams348', 'utg': 'momotic', 'mp': 'Tapia o_O', 'co': 'Satyam63'}",Tapia o_O,,,,18398,,,
Postrema,2022-12-10 15:59:11,240375389744,6,"{'btn': 'serioushippo677', 'sb': 'rwilliams348', 'bb': 'momotic', 'utg': 'Tapia o_O', 'mp': 'Satyam63', 'co': 'judini777777'}",serioushippo677,,,,15267,,,
Postrema,2022-12-10 16:00:17,240375403668,6,"{'btn': 'rwilliams348', 'sb': 'momotic', 'bb': 'Tapia o_O', 'utg': 'Satyam63', 'mp': 'judini777777', 'co': 'serioushippo677'}",Tapia o_O,,,,497,,,
Postrema,2022-12-10 16:01:09,240375415344,5,"{'btn': 'momotic', 'sb': 'Tapia o_O', 'bb': 'judini777777', 'utg': 'serioushippo677', 'mp': 'rwilliams348'}",Tapia o_O,,,,17293,,,
Postrema,2022-12-10 16:02:10,240375430044,4,"{'btn': 'Tapia o_O', 'sb': 'judini777777', 'bb': 'serioushippo677', 'utg': 'rwilliams348'}",rwilliams348,,,,7973,,,
Postrema,2022-12-10 16:03:03,240375443056,4,"{'btn': 'judini777777', 'sb': 'serioushippo677', 'bb': 'rwilliams348', 'utg': 'Tapia o_O'}",rwilliams348,,,,13415,,,
Postrema,2022-12-10 16:03:45,240375453789,4,"{'btn': 'serioushippo677', 'sb': 'rwilliams348', 'bb': 'Tapia o_O', 'utg': 'judini777777'}",rwilliams348,,,,3434,,,
Postrema,2022-12-10 16:04:24,240375463318,5,"{'btn': 'rwilliams348', 'sb': 'Tapia o_O', 'bb': 'HotRockQX957', 'utg': 'judini777777', 'mp': 'serioushippo677'}",Tapia o_O,,,,550,,,
Postrema,2022-12-10 16:05:11,240375475026,5,"{'btn': 'Tapia o_O', 'sb': 'HotRockQX957', 'bb': 'judini777777', 'utg': 'serioushippo677', 'mp': 'rwilliams348'}",judini777777,,,,19750,,,
Postrema,2022-12-10 16:06:06,240375488858,6,"{'btn': 'HotRockQX957', 'sb': 'judini777777', 'bb': 'serioushippo677', 'utg': 'rwilliams348', 'mp': 'Tomate264', 'co': 'Tapia o_O'}",serioushippo677,,,,2257,,,
Postrema,2022-12-10 16:06:37,240375496602,6,"{'btn': 'judini777777', 'sb': 'serioushippo677', 'bb': 'rwilliams348', 'utg': 'Tomate264', 'mp': 'Tapia o_O', 'co': 'HotRockQX957'}",judini777777,,,,450,,,
Postrema,2022-12-10 16:06:56,240375501189,6,"{'btn': 'serioushippo677', 'sb': 'rwilliams348', 'bb': 'Tomate264', 'utg': 'Tapia o_O', 'mp': 'HotRockQX957', 'co': 'judini777777'}",judini777777,,,,2929,,,
Postrema,2022-12-10 16:07:43,240375513016,6,"{'btn': 'rwilliams348', 'sb': 'Tomate264', 'bb': 'Tapia o_O', 'utg': 'HotRockQX957', 'mp': 'judini777777', 'co': 'serioushippo677'}",rwilliams348,,,,2929,,,
Postrema,2022-12-10 16:08:59,240375531972,6,"{'btn': 'Tomate264', 'sb': 'Tapia o_O', 'bb': 'HotRockQX957', 'utg': 'judini777777', 'mp': 'serioushippo677', 'co': 'rwilliams348'}",judini777777,,,,1276,,,
Postrema,2022-12-10 16:09:45,240375543764,6,"{'btn': 'Tapia o_O', 'sb': 'HotRockQX957', 'bb': 'judini777777', 'utg': 'serioushippo677', 'mp': 'rwilliams348', 'co': 'Tomate264'}",rwilliams348,,,,10157,,,
Postrema,2022-12-10 16:10:54,240375560935,6,"{'btn': 'HotRockQX957', 'sb': 'judini777777', 'bb': 'serioushippo677', 'utg': 'rwilliams348', 'mp': 'Tomate264', 'co': 'Tapia o_O'}",judini777777,,,,8271,,,
Postrema,2022-12-10 16:12:13,240375581111,6,"{'btn': 'judini777777', 'sb': 'serioushippo677', 'bb': 'rwilliams348', 'utg': 'Tomate264', 'mp': 'Tapia o_O', 'co': 'HotRockQX957'}",serioushippo677,,,,4441,,,
Postrema,2022-12-10 16:13:02,240375593420,6,"{'btn': 'serioushippo677', 'sb': 'rwilliams348', 'bb': 'Tomate264', 'utg': 'Tapia o_O', 'mp': 'HotRockQX957', 'co': 'judini777777'}",rwilliams348,,,,3213,,,
Postrema,2022-12-10 16:13:46,240375604585,5,"{'btn': 'rwilliams348', 'sb': 'Tomate264', 'bb': 'HotRockQX957', 'utg': 'judini777777', 'mp': 'serioushippo677'}",Tomate264,,,,2362,,,
