username_play,hand_number_play,position_play,starting_stack,finishing_stack,cards
hotti60,240356403676,btn,10078,10078,[]
AlterJuEgo,240356403676,sb,11585,11535,[]
serioushippo677,240356403676,bb,10000,9900,[]
Renata RDV,240356403676,utg,15737,15637,[]
pico516,240356403676,mp,35036,35286,[]
Dr.Smokealot,240356403676,co,14427,14427,[]
serioushippo677,240356410578,btn,9900,9400,[]
Renata RDV,240356410578,sb,15637,15587,[]
pico516,240356410578,bb,35286,36062,[]
Dr.Smokealot,240356410578,utg,14427,14427,[]
hotti60,240356410578,mp,10078,9778,[]
Renata RDV,240356423789,btn,15587,14915,[]
pico516,240356423789,sb,36062,35862,[]
Dr.Smokealot,240356423789,bb,14427,11472,"['2c', 'Ac']"
hotti60,240356423789,utg,9778,9578,[]
serioushippo677,240356423789,mp,9400,13043,"['4s', 'Ad']"
pico516,240356439035,btn,35862,42904,"['Ad', '9s']"
Dr.Smokealot,240356439035,sb,11472,11422,[]
hotti60,240356439035,bb,9578,9278,[]
serioushippo677,240356439035,utg,13043,5502,[]
Renata RDV,240356439035,mp,14915,14915,[]
Dr.Smokealot,240356449666,btn,11422,11422,[]
hotti60,240356449666,sb,9278,8828,[]
serioushippo677,240356449666,bb,5502,5402,[]
Renata RDV,240356449666,utg,14915,16618,"['3c', 'Qd']"
pico516,240356449666,mp,42904,41575,"['8s', 'Kc']"
serioushippo677,240356464006,btn,5402,5402,[]
Renata RDV,240356464006,sb,16618,16568,[]
pico516,240356464006,bb,41575,41475,[]
Dr.Smokealot,240356464006,utg,11422,11422,[]
JoseLuísJorg,240356464006,mp,10000,10050,[]
Renata RDV,240356470122,btn,16568,16151,"['7s', 'Tc']"
pico516,240356470122,sb,41475,41275,[]
Dr.Smokealot,240356470122,bb,11422,11322,[]
JoseLuísJorg,240356470122,utg,10150,9734,"['6h', 'Td']"
serioushippo677,240356470122,mp,5402,5402,[]
fppat,240381775946,btn,12803,12803,[]
hacke-fire,240381775946,sb,12569,12519,[]
StefanJaros,240381775946,bb,12420,12320,"['Ts', '8h']"
serioushippo677,240381775946,utg,10000,9900,[]
Joe F809,240381775946,mp,7673,7904,"['9s', 'Js']"
hacke-fire,240381786071,btn,12519,12519,[]
StefanJaros,240381786071,sb,12320,12220,[]
serioushippo677,240381786071,bb,9900,17502,"['5s', 'Qd']"
Joe F809,240381786071,utg,7904,0,"['8s', '5c']"
fppat,240381786071,mp,12803,12303,[]
StefanJaros,240381807467,btn,12220,12120,[]
serioushippo677,240381807467,sb,17502,17452,[]
fppat,240381807467,bb,12303,12439,[]
hacke-fire,240381807467,utg,12519,12519,[]
serioushippo677,240381817847,btn,17452,17152,[]
fppat,240381817847,sb,12439,10939,[]
StefanJaros,240381817847,bb,12120,13738,[]
fppat,240381839586,btn,10939,10939,[]
StefanJaros,240381839586,sb,13738,13827,[]
serioushippo677,240381839586,bb,17152,17052,[]
StefanJaros,240381845746,btn,13827,13834,"['Qh', '4c']"
serioushippo677,240381845746,sb,17052,17002,[]
fppat,240381845746,bb,10939,10946,"['Qs', '5c']"
serioushippo677,240381858095,btn,17002,17405,[]
fppat,240381858095,sb,10946,10896,[]
StefanJaros,240381858095,bb,13834,13434,[]
StefanJaros,240381871161,btn,13434,13570,[]
serioushippo677,240381871161,sb,17405,17355,[]
LeftMyMark,240381871161,bb,10000,9900,[]
serioushippo677,240381881935,btn,17355,17355,[]
LeftMyMark,240381881935,sb,9900,9800,[]
fppat,240381881935,bb,10896,11068,[]
StefanJaros,240381881935,utg,13570,13370,[]
fppat,240381893713,btn,11168,11068,[]
StefanJaros,240381893713,sb,13370,14443,[]
serioushippo677,240381893713,bb,17355,16155,[]
StefanJaros,240381917317,btn,14443,13343,[]
serioushippo677,240381917317,sb,16255,16205,[]
themiguelzin,240381917317,bb,5000,4900,[]
LeftMyMark,240381917317,utg,9800,9700,[]
fppat,240381917317,mp,11068,11068,[]
hacke-fire,240381917317,co,12519,13631,[]
serioushippo677,240381936389,btn,16205,16005,[]
themiguelzin,240381936389,sb,4900,4700,[]
fppat,240381936389,bb,11068,10468,"['3h', 'Jh']"
hacke-fire,240381936389,utg,13731,14643,"['Td', 'Kd']"
themiguelzin,240381951585,btn,4700,4700,[]
fppat,240381951585,sb,10468,10418,[]
hacke-fire,240381951585,bb,14643,14693,[]
T_RadW,240381951585,utg,4000,3900,[]
serioushippo677,240381951585,mp,16005,16005,[]
fppat,240381959730,btn,10418,10318,[]
hacke-fire,240381959730,sb,14793,15118,"['8c', '8d']"
serioushippo677,240381959730,bb,16005,15905,[]
themiguelzin,240381959730,utg,4700,4700,[]
LeftMyMark,240381959730,mp,9700,9550,[]
hacke-fire,240381979131,btn,15118,9818,"['8h', 'Ah']"
serioushippo677,240381979131,sb,15905,20855,"['Js', 'Jc']"
themiguelzin,240381979131,bb,4700,4600,[]
LeftMyMark,240381979131,utg,9550,9450,[]
Denaid1711,240381979131,mp,6340,6240,[]
serioushippo677,240382007535,btn,20905,20905,[]
themiguelzin,240382007535,sb,4600,4550,[]
LeftMyMark,240382007535,bb,9450,9350,[]
Denaid1711,240382007535,utg,6240,6140,[]
hacke-fire,240382007535,mp,9818,10218,[]
T_RadW,240382007535,co,3900,3750,[]
themiguelzin,240382012629,btn,4550,4550,[]
LeftMyMark,240382012629,sb,9350,8950,"['9c', '2s']"
Denaid1711,240382012629,bb,6140,6040,[]
hacke-fire,240382012629,utg,10218,10218,[]
T_RadW,240382012629,mp,3750,4200,"['Jd', '6d']"
serioushippo677,240382012629,co,20905,20905,[]
rwilliams348,240375339222,btn,30984,30684,[]
momotic,240375339222,sb,9200,9150,[]
Tapia o_O,240375339222,bb,9850,9550,[]
Satyam63,240375339222,utg,10411,10111,[]
judini777777,240375339222,mp,27089,26057,[]
serioushippo677,240375339222,co,5256,6972,[]
momotic,240375349939,btn,9150,9150,[]
Tapia o_O,240375349939,sb,9550,9500,[]
Satyam63,240375349939,bb,10111,8522,[]
judini777777,240375349939,utg,26057,24468,"['3d', '8d']"
serioushippo677,240375349939,mp,7072,7072,[]
rwilliams348,240375349939,co,30684,33647,"['Jd', 'Jc']"
Tapia o_O,240375358097,btn,9500,8055,[]
Satyam63,240375358097,sb,8522,8022,[]
judini777777,240375358097,bb,24468,23868,[]
serioushippo677,240375358097,utg,7072,7072,[]
rwilliams348,240375358097,mp,33647,35878,"['Jc', 'Td']"
momotic,240375358097,co,9150,9150,[]
Satyam63,240375368281,btn,8022,8022,[]
judini777777,240375368281,sb,23968,23918,[]
serioushippo677,240375368281,bb,7072,7303,[]
rwilliams348,240375368281,utg,35878,35778,[]
momotic,240375368281,mp,9150,9150,[]
Tapia o_O,240375368281,co,8055,7955,[]
judini777777,240375379445,btn,23918,21709,[]
serioushippo677,240375379445,sb,7303,7253,[]
rwilliams348,240375379445,bb,35778,27823,"['2c', '3h']"
momotic,240375379445,utg,9150,8500,[]
Tapia o_O,240375379445,mp,7955,18398,"['Th', 'Qd']"
Satyam63,240375379445,co,8022,7372,[]
serioushippo677,240375389744,btn,7253,15267,"['9h', 'Th']"
rwilliams348,240375389744,sb,27823,27773,[]
momotic,240375389744,bb,8500,8400,[]
Tapia o_O,240375389744,utg,18398,17648,[]
Satyam63,240375389744,mp,7372,119,"['Kh', 'Tc']"
judini777777,240375389744,co,21709,20959,[]
rwilliams348,240375403668,btn,27773,27166,[]
momotic,240375403668,sb,8400,8350,[]
Tapia o_O,240375403668,bb,17648,18922,"['5h', '6s']"
Satyam63,240375403668,utg,119,0,"['4d', 'Ad']"
judini777777,240375403668,mp,20959,20352,[]
serioushippo677,240375403668,co,15267,15267,[]
momotic,240375415344,btn,8350,0,"['3c', '3d']"
Tapia o_O,240375415344,sb,18922,27865,"['4s', '4c']"
judini777777,240375415344,bb,20352,19452,[]
serioushippo677,240375415344,utg,15267,15267,[]
rwilliams348,240375415344,mp,27166,26366,[]
Tapia o_O,240375430044,btn,27865,25086,[]
judini777777,240375430044,sb,19552,16723,[]
serioushippo677,240375430044,bb,15267,15167,[]
rwilliams348,240375430044,utg,26366,31560,[]
judini777777,240375443056,btn,16773,9975,[]
serioushippo677,240375443056,sb,15167,15117,[]
rwilliams348,240375443056,bb,31560,38177,"['3c', '3d']"
Tapia o_O,240375443056,utg,25086,24536,[]
serioushippo677,240375453789,btn,15117,15117,[]
rwilliams348,240375453789,sb,38177,39969,"['3d', 'Kh']"
Tapia o_O,240375453789,bb,24536,24186,[]
judini777777,240375453789,utg,9975,8333,"['2s', '5h']"
rwilliams348,240375463318,btn,39969,39728,[]
Tapia o_O,240375463318,sb,24186,24495,"['As', '5s']"
HotRockQX957,240375463318,bb,10000,9900,[]
judini777777,240375463318,utg,8333,8333,[]
serioushippo677,240375463318,mp,15117,15117,[]
Tapia o_O,240375475026,btn,24495,23695,[]
HotRockQX957,240375475026,sb,9900,9800,[]
judini777777,240375475026,bb,10000,19650,"['Kh', 'Kd']"
serioushippo677,240375475026,utg,15117,15117,[]
rwilliams348,240375475026,mp,39728,29728,"['6s', '4s']"
HotRockQX957,240375488858,btn,9800,9800,[]
judini777777,240375488858,sb,19750,18706,"['Td', '3h']"
serioushippo677,240375488858,bb,15117,16330,"['Kh', '2c']"
rwilliams348,240375488858,utg,29728,29628,[]
Tomate264,240375488858,mp,10000,9900,[]
Tapia o_O,240375488858,co,23695,23595,[]
judini777777,240375496602,btn,18706,19056,[]
serioushippo677,240375496602,sb,16330,16280,[]
rwilliams348,240375496602,bb,29628,29528,[]
Tomate264,240375496602,utg,9900,9900,[]
Tapia o_O,240375496602,mp,23595,23495,[]
HotRockQX957,240375496602,co,9800,9700,[]
serioushippo677,240375501189,btn,16280,16280,[]
rwilliams348,240375501189,sb,29528,28778,[]
Tomate264,240375501189,bb,9900,9150,[]
Tapia o_O,240375501189,utg,23495,23395,[]
HotRockQX957,240375501189,mp,9700,8950,[]
judini777777,240375501189,co,19056,21235,[]
rwilliams348,240375513016,btn,28778,31157,"['Ts', 'As']"
Tomate264,240375513016,sb,9150,8600,"['6c', 'Ah']"
Tapia o_O,240375513016,bb,23395,22845,"['8d', '7h']"
HotRockQX957,240375513016,utg,8950,8400,"['Th', '9s']"
judini777777,240375513016,mp,21235,20785,[]
serioushippo677,240375513016,co,16280,15830,[]
Tomate264,240375531972,btn,8600,8600,[]
Tapia o_O,240375531972,sb,22845,22395,[]
HotRockQX957,240375531972,bb,8400,7950,[]
judini777777,240375531972,utg,20785,21611,[]
serioushippo677,240375531972,mp,15830,15830,[]
rwilliams348,240375531972,co,31157,31157,[]
Tapia o_O,240375543764,btn,22395,21917,[]
HotRockQX957,240375543764,sb,7950,7472,[]
judini777777,240375543764,bb,21611,16715,"['6d', '7s']"
serioushippo677,240375543764,utg,15830,15830,[]
rwilliams348,240375543764,mp,31157,36418,"['6c', 'Td']"
Tomate264,240375543764,co,8600,8600,[]
HotRockQX957,240375560935,btn,7472,7472,[]
judini777777,240375560935,sb,16715,21910,[]
serioushippo677,240375560935,bb,15830,12804,[]
rwilliams348,240375560935,utg,36418,35518,[]
Tomate264,240375560935,mp,8600,7700,[]
Tapia o_O,240375560935,co,21917,21017,[]
judini777777,240375581111,btn,21960,20810,[]
serioushippo677,240375581111,sb,12804,16095,[]
rwilliams348,240375581111,bb,35518,35418,[]
Tomate264,240375581111,utg,7700,6550,[]
Tapia o_O,240375581111,mp,21017,19867,[]
HotRockQX957,240375581111,co,7472,7472,[]
serioushippo677,240375593420,btn,16095,16095,[]
rwilliams348,240375593420,sb,35418,36931,"['Kh', 'Jc']"
Tomate264,240375593420,bb,6550,4850,"['6c', 'Tc']"
Tapia o_O,240375593420,utg,19867,19867,[]
HotRockQX957,240375593420,mp,7472,7472,[]
judini777777,240375593420,co,20810,20810,[]
rwilliams348,240375604585,btn,36931,35731,[]
Tomate264,240375604585,sb,4850,6012,"['Ts', '3s']"
HotRockQX957,240375604585,bb,7472,7372,[]
judini777777,240375604585,utg,20810,20810,[]
serioushippo677,240375604585,mp,16095,16095,[]
Tomate264,240375616140,btn,6012,5212,[]
HotRockQX957,240375616140,sb,7372,9596,[]
judini777777,240375616140,bb,20810,19910,[]
serioushippo677,240375616140,utg,16095,16095,[]
rwilliams348,240375616140,mp,35731,34931,[]
HotRockQX957,240375628396,btn,9596,8996,[]
judini777777,240375628396,sb,20010,22753,"['8s', '8c']"
serioushippo677,240375628396,bb,16095,15995,[]
rwilliams348,240375628396,utg,34931,32536,[]
Tomate264,240375628396,mp,5212,5212,[]
penny-in-fla,240382740356,btn,6676,17437,"['Ah', '9c']"
Andrea in571,240382740356,sb,11828,9878,[]
serioushippo677,240382740356,bb,10000,9900,[]
MarilynGordg,240382740356,utg,2502,2402,[]
Mineraljack31,240382740356,mp,9700,3024,"['Ad', 'Jc']"
pikquik,240382740356,co,14708,11708,[]
Andrea in571,240382777224,btn,10000,9900,[]
serioushippo677,240382777224,sb,9900,9850,[]
MarilynGordg,240382777224,bb,2402,1802,[]
Mineraljack31,240382777224,utg,3024,2924,[]
pikquik,240382777224,mp,11708,11108,[]
penny-in-fla,240382777224,co,17437,18774,[]
serioushippo677,240382803413,btn,9850,9850,[]
MarilynGordg,240382803413,sb,1802,1702,[]
pikquik,240382803413,bb,11108,11197,[]
penny-in-fla,240382803413,utg,18774,18774,[]
MarilynGordg,240382814469,btn,1702,1302,[]
pikquik,240382814469,sb,11197,12643,"['2s', '8c']"
penny-in-fla,240382814469,bb,18774,17574,[]
serioushippo677,240382814469,utg,9850,9850,[]
pikquik,240382831274,btn,12643,13293,[]
penny-in-fla,240382831274,sb,17574,17374,[]
noyara,240382831274,bb,9772,9572,[]
serioushippo677,240382831274,utg,9850,9850,[]
MarilynGordg,240382831274,mp,1302,1102,[]
ELikLit,240382831274,co,10000,9900,[]
penny-in-fla,240382851756,btn,17374,16874,[]
noyara,240382851756,sb,9572,11518,"['6h', '2s']"
serioushippo677,240382851756,bb,9850,9750,[]
MarilynGordg,240382851756,utg,1102,402,[]
