type,hands_recorded,vpip_count,pfr_count,username
villain,7,4,0,Renata RDV
villain,7,6,2,pico516
villain,7,1,0,Dr.Smokealot
villain,5,4,0,hotti60
villain,1,0,0,AlterJuEgo
hero,229,76,62,serioushippo677
villain,2,2,1,JoseLuísJorg
villain,11,10,0,StefanJaros
villain,2,2,0,Joe F809
villain,13,6,1,fppat
villain,10,6,4,hacke-fire
villain,7,4,0,LeftMyMark
villain,7,1,0,themiguelzin
villain,3,1,0,T_RadW
villain,3,1,0,Denaid1711
villain,8,2,0,momotic
villain,22,20,1,Tapia o_O
villain,7,6,1,Satyam63
villain,25,20,18,judini777777
villain,25,21,0,rwilliams348
villain,14,8,0,HotRockQX957
villain,12,6,0,Tomate264
villain,17,10,0,penny-in-fla
villain,2,2,1,Andrea in571
villain,9,6,0,MarilynGordg
villain,2,2,0,Mineraljack31
villain,17,16,0,pikquik
villain,3,2,0,noyara
villain,6,2,0,ELikLit
villain,6,5,2,voll narr007
villain,7,5,0,paulo cés123
villain,3,2,0,BadFoxNF637
villain,2,1,0,CamiloRad
villain,7,3,0,ocsi888888
villain,7,6,0,Luizão993
villain,1,0,0,kalifa_al
villain,7,6,6,ValentinU764
villain,7,5,0,Camila_CC461
villain,5,5,0,zeppelinsuar
villain,1,1,1,FKova
villain,11,10,1,microfaradio 2
villain,4,3,1,gregorio731
villain,9,7,1,caro391
villain,2,1,1,pinask
villain,9,5,1,marire63
villain,8,7,3,luybezniy28
villain,3,2,0,1anghel1
villain,8,6,0,Roadking1ajb
villain,5,3,0,JGFM81
villain,17,10,6,theriver567
villain,17,15,1,J. Aspitia
villain,17,12,0,NIKI-Z565
villain,7,4,2,al_bandicoot
villain,1,0,0,MAXIMO1313
villain,3,1,0,fun5050
villain,2,1,0,tseembaa
villain,20,14,0,Bill22gold
villain,3,2,0,margi211
villain,13,11,0,HDGaryD
villain,15,11,2,DraQ87
villain,13,9,0,Roga D46
villain,11,11,5,victorgau
villain,22,17,0,jamivicente
villain,19,18,3,EL FIERA1972
villain,22,15,1,mihran6971
villain,16,7,0,betocasagrande
villain,14,9,0,katya.dizain
villain,7,3,0,mikimaus221
villain,3,3,1,rolandomauro
villain,3,1,0,FrantisekMayer
villain,1,1,0,kire0507
villain,3,3,1,barros1258
villain,3,3,1,boboman2
villain,3,1,0,Tavo624
villain,42,37,2,bagrones
villain,4,1,0,Cambust
villain,25,17,3,ayogipa8
villain,42,29,1,ionilie123
villain,1,0,0,stack4meall
villain,36,25,1,TAlexandr2716
villain,31,9,3,Goldbuster1
villain,8,7,6,scraps2211
villain,5,4,0,anniev54
villain,2,2,0,Nova123221
villain,10,6,0,Straszyciel
villain,2,2,0,LivePokerBU4
villain,21,10,3,Everclear906
villain,6,4,2,Pino937
villain,4,1,1,SlickBet7470
villain,6,1,0,papa372
villain,5,3,0,KATITO430
villain,2,2,2,domiPOKER16
villain,13,10,1,Hydraty
villain,15,11,0,madobabette
villain,13,10,0,BlokkerII
villain,10,9,1,FastJoker8R3
villain,15,13,5,HighAceRQ726
villain,4,3,0,GvMeTheMon1
