table_name,small_blind,big_blind,table_datetime_start,table_duration_estimate
Laputa,50,100,['2022-12-09 17:03:40'],['0:04:18']
Errai II,50,100,['2022-12-10 21:24:05'],['0:11:58']
Postrema,50,100,['2022-12-10 15:55:09'],['0:20:11']
Walhalla,50,100,['2022-12-10 22:16:09'],['0:15:20']
Graffias II,50,100,['2022-12-11 23:48:40'],['0:04:09']
Kraz II,50,100,['2022-12-11 23:55:15'],['18:10:10']
Rostia,50,100,['2022-12-12 18:13:50'],['0:16:43']
Aquarius II,50,100,['2022-12-12 16:25:41'],['0:18:58']
Simeisa II,50,100,['2022-12-12 23:53:41'],['18:29:19']
Zellner,50,100,['2022-12-12 20:54:18'],['0:02:59']
Atropos,50,100,['2022-12-13 10:23:35'],['0:39:20']
Irus,50,100,['2022-12-14 14:55:41'],['0:09:20']
Polydoros,50,100,['2022-12-16 16:01:44'],['0:14:19']
